σz	Ms
-1.00E-01	1857.129677
-2.00E-01	1855.285676
-3.00E-01	1269.140597
-4.00E-01	1053.750496
-5.00E-01	952.2567056
-6.00E-01	893.4081976
-7.00E-01	855.0126994
-8.00E-01	834.9833997
-9.00E-01	828.1531586
-1.00E+00	826.8003018
-1.10E+00	829.3473767
-1.20E+00	834.4532391
-1.30E+00	841.273608
-1.40E+00	849.3827748
-1.50E+00	858.381035
-1.60E+00	868.016233
-1.70E+00	878.1652627
-1.80E+00	888.694561
-1.90E+00	899.4626989
-2.00E+00	910.4525322
-2.10E+00	921.5791847
-2.20E+00	932.7893871
-2.30E+00	944.048619
-2.40E+00	955.3303072
-2.50E+00	966.5870573
-2.60E+00	977.8769629
-2.70E+00	989.0986674
-2.80E+00	1000.293872
-2.90E+00	1011.448551
-3.00E+00	1022.549779
-3.10E+00	1033.591835
-3.20E+00	1044.571609
-3.30E+00	1055.486443
-3.40E+00	1066.313203
-3.50E+00	1077.109301
-3.60E+00	1087.806469
-3.70E+00	1098.440485
-3.80E+00	1109.010736
-3.90E+00	1119.511434
-4.00E+00	1129.940917
-4.10E+00	1140.299978
-4.20E+00	1150.589543
-4.30E+00	1160.810257
-4.40E+00	1170.962805
-4.50E+00	1181.047898
-4.60E+00	1191.048319
-4.70E+00	1201.013686
-4.80E+00	1210.892157
-4.90E+00	1220.727545
-5.00E+00	1230.478641
-5.10E+00	1240.171127
-5.20E+00	1249.809044
-5.30E+00	1259.389012
-5.40E+00	1268.909244
-5.50E+00	1278.370528
-5.60E+00	1287.774301
-5.70E+00	1297.124003
-5.80E+00	1306.417205
-5.90E+00	1315.654739
-6.00E+00	1324.838411
-6.10E+00	1333.969498
-6.20E+00	1343.048862
-6.30E+00	1352.077216
-6.40E+00	1361.039707
-6.50E+00	1369.977029
-6.60E+00	1378.850008
-6.70E+00	1387.691832
-6.80E+00	1396.469471
-6.90E+00	1405.21644
-7.00E+00	1413.902222
-7.10E+00	1422.543422
-7.20E+00	1431.16149
-7.30E+00	1439.718683
-7.40E+00	1448.230118
-7.50E+00	1456.703282
-7.60E+00	1465.138504
-7.70E+00	1473.533924
-7.80E+00	1481.888529
-7.90E+00	1490.202822
-8.00E+00	1498.477715
-8.10E+00	1506.714169
-8.20E+00	1514.912774
-8.30E+00	1523.074086
-8.40E+00	1531.198525
-8.50E+00	1539.286624
-8.60E+00	1547.338862
-8.70E+00	1555.355783
-8.80E+00	1563.337907
-8.90E+00	1571.285655
-9.00E+00	1579.185188
-9.10E+00	1587.070544
-9.20E+00	1594.926082
-9.30E+00	1602.732131
-9.40E+00	1610.519006
-9.50E+00	1618.262394
-9.60E+00	1625.989298
-9.70E+00	1633.672902
-9.80E+00	1641.338304
-9.90E+00	1648.961045
-1.00E+01	1656.565922
-1.01E+01	1664.12961
-1.02E+01	1671.67615
-1.03E+01	1679.182609
-1.04E+01	1686.65838
-1.05E+01	1694.124635
-1.06E+01	1701.551796
-1.07E+01	1708.946918
-1.08E+01	1716.316116
-1.09E+01	1723.676339
-1.10E+01	1730.984191
-1.11E+01	1738.289955
-1.12E+01	1745.560848
-1.13E+01	1752.801477
-1.14E+01	1760.016718
-1.15E+01	1767.209299
-1.16E+01	1774.379481
-1.17E+01	1781.526502
-1.18E+01	1788.649479
-1.19E+01	1795.74819
-1.20E+01	1802.822914
-1.21E+01	1809.874237
-1.22E+01	1816.902648
-1.23E+01	1823.908459
-1.24E+01	1830.89194
-1.25E+01	1837.85321
-1.26E+01	1844.792511
-1.27E+01	1851.709963
-1.28E+01	1858.605862
-1.29E+01	1865.480437
-1.30E+01	1872.333905
-1.31E+01	1879.166469
-1.32E+01	1885.978377
-1.33E+01	1892.769809
-1.34E+01	1899.527337
-1.35E+01	1906.278994
-1.36E+01	1913.017352
-1.37E+01	1919.722529
-1.38E+01	1926.417954
-1.39E+01	1933.096987
-1.40E+01	1939.7431
-1.41E+01	1946.379455
-1.42E+01	1953.000574
-1.43E+01	1959.590288
-1.44E+01	1966.171205
-1.45E+01	1972.724029
-1.46E+01	1979.271604
-1.47E+01	1985.791674
-1.48E+01	1992.304991
-1.49E+01	1998.79045
-1.50E+01	2005.267812
-1.51E+01	2011.717683
-1.52E+01	2018.159934
-1.53E+01	2024.575488
-1.54E+01	2030.984006
-1.55E+01	2037.366458
-1.56E+01	2043.741947
-1.57E+01	2050.091706
-1.58E+01	2056.434444
-1.59E+01	2062.751897
-1.60E+01	2069.06238
-1.61E+01	2075.34805
-1.62E+01	2081.626886
-1.63E+01	2087.881387
-1.64E+01	2094.115768
-1.65E+01	2100.350655
-1.66E+01	2106.563136
-1.67E+01	2112.75575
-1.68E+01	2118.946561
-1.69E+01	2125.11452
-1.70E+01	2131.262261
-1.71E+01	2137.407557
-1.72E+01	2143.53069
-1.73E+01	2149.634598
-1.74E+01	2155.736874
-1.75E+01	2161.817714
-1.76E+01	2167.879772
-1.77E+01	2173.926313
-1.78E+01	2179.975628
-1.79E+01	2186.004484
-1.80E+01	2192.014263
-1.81E+01	2198.0076
-1.82E+01	2204.001267
-1.83E+01	2209.974829
-1.84E+01	2215.930105
-1.85E+01	2221.870006
-1.86E+01	2227.8111
-1.87E+01	2233.732888
-1.88E+01	2239.636962
-1.89E+01	2245.525923
-1.90E+01	2251.402399
-1.91E+01	2257.282507
-1.92E+01	2263.143844
-1.93E+01	2268.987131
-1.94E+01	2274.814607
-1.95E+01	2280.629014
-1.96E+01	2286.432532
-1.97E+01	2292.240326
-1.98E+01	2298.029949
-1.99E+01	2303.801706
-2.00E+01	2309.557711
-2.01E+01	2315.300689
-2.02E+01	2321.032962
-2.03E+01	2326.755915
-2.04E+01	2332.469839
-2.05E+01	2338.174221
-2.06E+01	2343.868145
-2.07E+01	2349.550719
-2.08E+01	2355.221425
-2.09E+01	2360.880113
-2.10E+01	2366.527004
-2.11E+01	2372.162504
-2.12E+01	2377.787072
-2.13E+01	2383.401082
